level,level1,level4,level7
LV5.217 Bus 99,0.0,-11.221336293897139,-20.515774889560134
LV3.202 Bus 113,0.0,-12.652850177713617,-33.28492999195191
LV3.204 Bus 74,0.0,-16.07710572044448,-43.30481494707874
LV3.202 Bus 7,0.0,-17.817708285177787,-50.80644183702702
LV3.203 Bus 131,0.0,-23.23300179490616,-62.49282302012648
LV2.203 Bus 4,0.0,-23.899656014796392,-58.22329285688147
LV4.219 Bus 17,0.0,-10.443252599402854,-33.84063833054222
LV4.232 Bus 25,0.0,-28.63290901495793,-80.83301734214001
LV2.217 Bus 6,0.0,-14.723107230928917,-34.779764362670676
LV5.217 Bus 110,0.0,-6.282296245772727,-18.33731547830007
LV3.205 Bus 37,0.0,-14.700386096735429,-36.80121960196152
LV3.205 Bus 48,0.0,-4.728577483208255,-1.6859078541017425
LV2.217 Bus 18,0.0,-13.461939184937364,-42.93222880065355
LV5.217 Bus 71,0.0,-28.471745984241807,-89.89665368719125
LV3.203 Bus 102,0.0,-10.06336952228753,-22.3274972033729
LV3.202 Bus 68,0.0,-14.75183323856254,-49.53335599282036
LV3.205 Bus 116,0.0,-23.041000757817983,-61.48090994797258
LV5.217 Bus 24,0.0,-14.199670837539315,-45.06819018985789
LV2.217 Bus 77,0.0,-41.44955217233155,-137.81207448928762
LV2.203 Bus 68,0.0,-17.883380392702065,-55.984993351653884
LV4.202 Bus 4,0.0,-21.967844358058983,-62.298911334075456
LV5.217 Bus 26,0.0,-9.063484143867754,-21.75708585051916
LV3.203 Bus 51,0.0,-9.889546060932616,-33.625571557764715
LV3.205 Bus 136,0.0,-10.544952751574783,-18.021812953886183
LV3.202 Bus 92,0.0,-4.076608648493107,-12.570511099648002
LV3.204 Bus 79,0.0,-14.494312537255837,-52.6286337366314
LV2.203 Bus 88,0.0,-16.072524675868635,-40.370814847523434
LV3.205 Bus 130,0.0,-15.48965158593478,-50.86368536979603
LV3.205 Bus 99,0.0,-21.555903002500145,-65.47913171528216
LV3.205 Bus 110,0.0,-14.4831454214127,-48.04889610951386
LV6.202 Bus 26,0.0,-18.377783380472465,-37.99995636892936
LV3.204 Bus 119,0.0,-18.88656927490979,-63.98566675742086
LV4.202 Bus 22,0.0,-10.997669073593897,-25.105547108198152
LV3.204 Bus 68,0.0,-12.9078742660854,-33.47420016332035
LV3.204 Bus 25,0.0,-8.959852441015983,-17.432362687219666
LV3.203 Bus 34,0.0,-14.214197798545229,-53.232525939848074
LV4.202 Bus 36,0.0,-6.803976143458044,-24.140515652473823
LV6.202 Bus 42,0.0,-14.854016499624777,-49.1778451117716
LV3.205 Bus 73,0.0,-14.80049017117176,-39.30886719288969
LV6.202 Bus 12,0.0,-13.53884239865556,-26.88059303629052
LV5.217 Bus 64,0.0,-16.27144479031722,-49.57282305493891
LV3.202 Bus 119,0.0,-17.831361408266048,-53.55469184140338
LV1.202 Bus 10,0.0,-15.812283514881528,-51.574356513541716
LV4.202 Bus 16,0.0,-9.812302469051815,-32.757378391920724
LV3.203 Bus 49,0.0,-16.957061378287108,-56.47604972307022
LV3.204 Bus 72,0.0,-17.377818499257728,-48.77712473153974
LV2.203 Bus 8,0.0,-18.588406486029726,-59.022645161533774
LV4.219 Bus 13,0.0,-12.41844395966632,-19.969793280600243
LV5.217 Bus 25,0.0,-18.50524194321838,-41.99329815160763
LV2.217 Bus 87,0.0,-5.636351974232298,-18.104825682406272
LV2.217 Bus 23,0.0,-20.406835141807278,-35.92732918335241
LV5.217 Bus 69,0.0,-15.210347177234098,-51.315635111686106
LV2.217 Bus 44,0.0,-28.076357299655683,-88.91690778992734
LV3.204 Bus 43,0.0,-8.744135719057113,-23.691348532036272
LV2.217 Bus 14,0.0,-19.727825136653337,-64.93796306084027
LV4.219 Bus 8,0.0,-20.127100066667026,-64.05391308443359
LV3.204 Bus 85,0.0,-10.485241092787874,-11.661072689696311
LV3.202 Bus 45,0.0,-8.364107763100492,-26.966196089142272
LV5.217 Bus 50,0.0,-10.485908243775157,-35.60050622404242
LV4.202 Bus 5,0.0,-10.194065671847056,-8.891881622905657
LV4.232 Bus 15,0.0,-17.300041271824284,-21.084375940273276
LV3.203 Bus 104,0.0,-5.401798010878451,-17.2529918286765
LV5.217 Bus 95,0.0,-5.6691685591544,-19.099300309373575
LV6.202 Bus 46,0.0,-11.737164771182051,-14.067554306206148
LV2.217 Bus 30,0.0,-19.05529626674661,-51.48945836168673
LV3.205 Bus 96,0.0,-9.644208553183262,-24.080598325034316
LV3.204 Bus 99,0.0,-11.810370947814818,-35.598023389826494
LV3.203 Bus 135,0.0,-6.000594203324567,-5.859498657456925
LV3.205 Bus 102,0.0,-11.124824458247076,-19.917097638384348
LV4.202 Bus 12,0.0,-13.402851606788317,-46.947587807347645
LV3.203 Bus 47,0.0,-21.56854953353468,-62.14728421548352
LV3.203 Bus 84,0.0,-6.186261207983762,-4.73774835057111
LV4.202 Bus 15,0.0,-14.391579479793108,-39.58454227926131
LV6.202 Bus 18,0.0,-10.839633963111737,-30.76015176656574
LV2.217 Bus 8,0.0,-10.66386209536131,-35.20680211186698
LV6.202 Bus 32,0.0,-40.54234836663318,-128.31976338032382
LV6.202 Bus 40,0.0,-50.950149481877816,-140.83089616899088
LV2.203 Bus 94,0.0,-14.97807968405209,-52.25489150293856
LV3.203 Bus 83,0.0,-16.34725342981187,-52.013643295241764
LV3.202 Bus 114,0.0,-20.1123939534732,-60.51851059646356
LV2.217 Bus 57,0.0,-6.753465547103474,-14.97872589018209
LV6.202 Bus 41,0.0,-32.287356892036314,-91.41302349822308
LV3.204 Bus 50,0.0,-30.51845325367958,-84.0260762390335
LV3.202 Bus 78,0.0,-36.607469649043196,-107.05331994388553
LV4.219 Bus 5,0.0,-18.627964113294183,-56.44561837965057
LV5.217 Bus 9,0.0,-25.780081815451922,-83.2453545415965
LV5.217 Bus 103,0.0,-6.48968625954717,-15.87568818390514
LV5.217 Bus 11,0.0,-14.646269290090459,-47.14695532513042
LV4.219 Bus 11,0.0,-14.938644917689999,-52.00148851553058
LV3.204 Bus 114,0.0,-6.671065027845998,-22.668449923164076
LV3.202 Bus 37,0.0,-8.09452036998232,-23.09798122875054
LV5.217 Bus 46,0.0,-11.79211215780333,-40.75597547725465
LV2.203 Bus 25,0.0,-7.860519213666748,-25.151548926661803
LV3.202 Bus 115,0.0,-15.03430068822854,-38.70928970771865
LV4.202 Bus 3,0.0,-16.319209817127557,-54.580737430737145
LV5.217 Bus 44,0.0,-10.002095391022294,-30.10980531215546
LV3.203 Bus 71,0.0,-10.444309029760575,-29.909952744312932
LV4.202 Bus 18,0.0,-8.11231118888395,-23.753386438314692
LV2.203 Bus 101,0.0,-6.420041887019693,-20.82055308085728
LV4.219 Bus 21,0.0,-11.75261047496997,-25.109536678722634
LV4.202 Bus 30,0.0,-9.403454934457159,-17.43166148180285
LV3.202 Bus 77,0.0,-12.719468695208434,-36.35309634660257
LV3.203 Bus 27,0.0,-22.75366799280073,-72.65171826036612
LV4.202 Bus 14,0.0,-4.938265310416796,-7.240611027975319
LV2.217 Bus 24,0.0,-15.733201044851512,-40.37867699226035
LV3.205 Bus 75,0.0,-11.229339600859248,-28.436274463728296
LV3.202 Bus 15,0.0,-7.13080105496806,-21.792851978510043
LV3.204 Bus 45,0.0,-24.517055490269968,-76.70102951047852
LV2.217 Bus 5,0.0,-10.399759604882092,-34.82740942469104
LV3.202 Bus 131,0.0,-9.094431774629356,-16.168644700803725
LV2.203 Bus 74,0.0,-15.10120104846419,-45.79167170537903
LV4.219 Bus 9,0.0,-12.021413448383328,-42.6651869964669
LV4.219 Bus 41,0.0,-5.632359732839404,-12.972785201085799
LV4.219 Bus 31,0.0,-6.871806254302783,-19.77534155906551
LV3.204 Bus 65,0.0,-14.591301486684188,-33.75288683003782
LV2.203 Bus 5,0.0,-16.970797852074384,-51.154311262432884
LV6.202 Bus 47,0.0,-33.756916565415395,-93.15721249552416
LV5.217 Bus 92,0.0,-12.501595894597813,-39.70321311649843
LV3.203 Bus 99,0.0,-16.966838665337036,-44.25633301912512
LV3.205 Bus 104,0.0,-6.863925046608642,-14.73438684251596
LV6.202 Bus 43,0.0,-11.812013366807832,-41.920668356283386
LV3.204 Bus 93,0.0,-19.296838112247997,-56.553199239262995
LV2.203 Bus 102,0.0,-22.11161362428038,-71.92527506294437
LV6.202 Bus 37,0.0,-8.154839661066262,-30.698184471187346
LV3.203 Bus 39,0.0,-5.714673721433769,-18.324297225127793
LV3.203 Bus 113,0.0,-14.583951201934497,-33.94703266054967
LV3.203 Bus 38,0.0,-6.386949405993619,-8.404714228965759
LV4.219 Bus 20,0.0,-14.541897559958443,-49.34752246413336
LV3.205 Bus 56,0.0,-24.51869389570834,-60.76553348915172
LV3.203 Bus 103,0.0,-26.969392019817406,-80.36056147373597
LV4.202 Bus 25,0.0,-12.851477876349918,-33.73531448636186
LV1.202 Bus 6,0.0,-8.500590782341305,-22.402781190987298
LV3.204 Bus 95,0.0,-7.813271123677282,-11.408733898583023
LV2.203 Bus 95,0.0,-23.126333136170842,-54.359016097496806
LV5.217 Bus 88,0.0,-13.418645243042647,-31.704259228164574
LV2.217 Bus 91,0.0,-34.35917434719704,-88.22300873884706
LV2.203 Bus 14,0.0,-25.835630111250794,-80.11422800650166
LV3.204 Bus 109,0.0,-19.103824387092118,-59.792054156930135
LV3.204 Bus 124,0.0,-13.037579235318617,-46.596387409316094
LV4.219 Bus 2,0.0,-8.616876619867298,-14.127667777534953
LV4.232 Bus 14,0.0,-26.01886769352359,-77.33282081639436
LV2.217 Bus 71,0.0,-7.9911021260157895,-24.20253200276227
LV3.205 Bus 46,0.0,-10.311550537137009,-24.451312861335964
LV3.203 Bus 79,0.0,-15.227454104393246,-48.16042233180201
LV3.204 Bus 31,0.0,-22.91582241253991,-63.13535718193111
LV3.204 Bus 8,0.0,-10.912710825894237,-17.0874708065885
LV3.205 Bus 71,0.0,-32.926070935329335,-107.51327628394665
LV3.202 Bus 13,0.0,-8.949262432226305,-25.321328132079543
LV3.204 Bus 60,0.0,-16.199653272724618,-58.71549410338889
LV3.204 Bus 110,0.0,-5.693522909951525,-7.837997976329689
LV3.205 Bus 83,0.0,-25.164821700120456,-75.87689180101643
LV3.205 Bus 50,0.0,-12.1533158920206,-42.32008084240647
LV5.217 Bus 32,0.0,-12.07418465175283,-30.379743839906496
LV3.203 Bus 77,0.0,-14.029813790144544,-41.52404422980385
LV1.202 Bus 5,0.0,-6.371843834157744,-19.666197974754823
LV4.219 Bus 30,0.0,-8.689358399485172,-22.49599165726852
LV4.232 Bus 40,0.0,-13.46863140263531,-42.63008326676095
LV4.232 Bus 43,0.0,-7.4166635539952495,-9.749055338643984
LV5.217 Bus 6,0.0,-23.285887828010345,-64.07734889407766
LV5.217 Bus 94,0.0,-27.112147431727863,-78.28725366174785
LV3.204 Bus 130,0.0,-17.36230113443139,-49.006995017642566
LV6.202 Bus 14,0.0,-14.270881488425857,-24.6269003166708
LV2.203 Bus 81,0.0,-11.433366486579189,-29.034579923351885
LV3.205 Bus 39,0.0,-15.36207483068165,-37.43795057621719
LV2.217 Bus 82,0.0,-12.401399385532159,-36.39247914254338
LV5.217 Bus 51,0.0,-16.70942073655783,-53.05707907246688
LV3.204 Bus 64,0.0,-19.437372231555855,-46.77284245747069
LV3.204 Bus 131,0.0,-8.33999220021758,-15.647470683805864
LV3.205 Bus 109,0.0,-17.27767187178597,-51.14149103579712
LV5.217 Bus 22,0.0,-7.356367511318581,-10.611116461907613
LV3.203 Bus 20,0.0,-13.850812695652166,-43.32873171390611
LV2.203 Bus 20,0.0,-16.120044224777757,-53.73526498543288
LV6.202 Bus 33,0.0,-18.725568319775448,-54.22368622532895
LV3.205 Bus 72,0.0,-8.681106710799895,-18.250181307930347
LV5.217 Bus 91,0.0,-7.982157055640982,-11.258660162611477
LV6.202 Bus 21,0.0,-6.277639596689255,-19.967755177504046
LV5.217 Bus 106,0.0,-4.800688019272343,-12.034331769565938
LV6.202 Bus 13,0.0,-10.652816396684557,5.752971612433157
LV3.204 Bus 56,0.0,-8.856164435637083,-29.309754957532277
LV6.202 Bus 53,0.0,-23.037549691737695,-70.03897707487977
LV3.203 Bus 98,0.0,-9.59664521132413,-18.548993245337215
LV3.203 Bus 82,0.0,-18.26438572936854,-46.28636691133602
LV3.204 Bus 98,0.0,-12.240827957069314,-34.34678676917474
LV3.203 Bus 132,0.0,-24.096919002668983,-76.27705575090545
LV3.202 Bus 58,0.0,-6.643921513139617,-18.935537568983364
LV3.204 Bus 113,0.0,-17.120215075470014,-51.71809446189195
LV3.205 Bus 85,0.0,-8.745637049600418,-3.8151184258545072
LV3.203 Bus 100,0.0,-18.645862393670768,-60.87850390860444
LV3.204 Bus 71,0.0,-13.129755963257594,-45.028304373845
LV3.203 Bus 115,0.0,-12.716066761901175,-42.02233445004458
LV5.217 Bus 54,0.0,-24.684492154061445,-72.65294593062163
LV5.217 Bus 67,0.0,-23.357258369323972,-67.4793646319049
LV6.202 Bus 51,0.0,-35.81850615937856,-77.84561835105615
LV3.202 Bus 98,0.0,-5.79653526058587,-17.54632584398655
LV3.202 Bus 20,0.0,-28.033677078217124,-93.96367839737877
LV3.202 Bus 48,0.0,-6.668426820908735,-21.477992286120752
LV3.204 Bus 22,0.0,-4.680271486931474,-5.558800478489957
LV3.205 Bus 100,0.0,-15.973277419577016,-44.80307264578437
LV3.205 Bus 93,0.0,-10.265913991852358,-34.529528799097534
LV3.204 Bus 94,0.0,-13.283237197721974,-42.06925965748519
LV4.219 Bus 10,0.0,-22.065133760595927,-59.55282734751586
LV4.219 Bus 25,0.0,-14.563507543839478,-37.056523824107444
LV3.203 Bus 60,0.0,-17.514104517803844,-58.451719776687696
LV2.203 Bus 71,0.0,-20.800059476408933,-55.110649549397294
LV2.203 Bus 6,0.0,-18.871041803828575,-46.61000866566519
LV2.203 Bus 57,0.0,-8.648704243908469,-26.535198887304205
LV2.203 Bus 28,0.0,-18.036187193756405,-53.91581165562275
LV3.205 Bus 113,0.0,-16.087058298864804,-51.79521144871569
LV3.205 Bus 114,0.0,-7.756270372994322,-24.206801481382172
LV6.202 Bus 17,0.0,-16.846420057196156,-43.01709257216771
LV3.202 Bus 43,0.0,-18.719649337062492,-51.50475796557589
LV3.205 Bus 55,0.0,-17.537919044296814,-60.59180352462272
LV5.217 Bus 86,0.0,-6.904840788754996,-22.214849732464245
LV3.203 Bus 45,0.0,-21.43824429592587,-66.65030121371046
LV2.217 Bus 96,0.0,-8.419859604106705,-11.10633967076592
