level,level1,level4,level4,level5,level6,level7,level7,level8,level9
LV5.217 Bus 99,0.0,-11.221336293897139,-11.221336293897139,-11.222538193788068,-8.610826161829891,-20.515774889560134,-20.515774889560134,-20.515774889560134,-20.515774889560134
LV2.217 Bus 18,0.0,-13.461939184937364,-13.411221979937181,-13.454693869936818,-9.230450062817908,-42.93222880065332,-41.87483585757536,-42.63510118140357,-42.92040270646544
LV3.203 Bus 49,0.0,-16.95706137828688,-16.957087149009112,-16.957038599060525,-16.955210732296564,-56.47604972307022,-55.1446144404365,-56.084080799570074,-56.476026580281086
LV3.203 Bus 100,0.0,-18.645862393670768,-18.617686168670843,-18.64574018694998,-18.64302856789186,-60.87850390860444,-59.56551670570275,-60.54403281010468,-60.87838322638049
LV2.217 Bus 30,0.0,-19.055296266746836,-19.055296266747064,-19.05529626674661,-14.35927016487608,-51.4894583616865,-49.849119575433406,-51.001547496385,-51.48772272271549
LV3.203 Bus 20,0.0,-13.850812695651939,-13.85072106418238,-13.851473664146397,-11.28781410984061,-43.32873171390588,-42.4045440569389,-43.178753857064066,-43.227835464881764
LV5.217 Bus 34,0.0,-9.243953536245499,-9.243953536245272,-9.243953536245272,-2.478570117296613,-16.315057554131727,-16.315057554131727,-16.315057554131727,-16.31390241875897
LV3.204 Bus 22,0.0,-4.680271486931588,-4.680271486931588,-4.68024034084965,1.264745244215419,-5.558800478489957,-5.300946995303775,-5.428547006303802,-5.339258950534827
LV3.204 Bus 113,0.0,-17.120215075470014,-17.120245158092985,-17.120375352978044,-16.891379757507593,-51.718094461891724,-49.44435814456915,-50.8295761370191,-51.71806437926898
LV5.217 Bus 29,0.0,-11.018539353040069,-11.018539353040069,-11.019598961403744,-5.36392551001245,-19.885723119779414,-19.885723119779414,-19.885723119779414,-19.884944140202606
LV3.205 Bus 55,0.0,-17.537919044296814,-17.537919044296814,-17.538029596752267,-17.013401436648564,-60.59180352462272,-60.017390375872765,-60.3984347126227,-60.59180352462272
LV1.202 Bus 14,0.0,-23.109250892031696,-23.10925089203147,-23.10925089203056,-16.59090762860569,-69.07091471285025,-69.07091471285025,-69.07091471285003,-69.06967626730216
LV3.202 Bus 130,0.0,-13.607248089459517,-13.607212471624052,-13.607246272766133,-13.44276927645592,-46.447872295867,-46.447872295867,-46.447872295867,-46.447872295867
LV1.202 Bus 6,0.0,-8.500590782341419,-8.50058815226464,-8.500267572287271,-7.954907384220064,-22.402781190987298,-22.40273732982348,-22.40271993658655,-22.402783821063963
LV4.219 Bus 41,0.0,-5.632359732839404,-5.632359732839404,-5.631686143429874,-5.425133221879605,-12.972785201085799,-12.972785201085799,-12.972785201085799,-12.972629682612364
LV3.203 Bus 79,0.0,-15.227454104393246,-15.227454104393018,-15.227256787482702,-14.388518119470973,-48.16042233180201,-47.267038019428355,-47.97519821019023,-48.12686989819031
LV3.203 Bus 115,0.0,-12.716066761901175,-12.71595241829391,-12.716066761900493,-12.59729554346427,-42.022334450044355,-41.2066262323026,-41.87519413126597,-41.95209736881566
LV4.232 Bus 44,0.0,-19.6679348376083,-19.6679348376083,-19.667413617886268,-18.91350733543527,-64.06511974058503,-64.06511974058503,-64.06520391431059,-64.06520391431059
LV3.205 Bus 73,0.0,-14.800490171171987,-14.800490171171987,-14.800490171171305,-7.7446326352958295,-39.30886719288969,-38.88629961950119,-39.196447000389526,-39.307712057517165
LV5.217 Bus 50,0.0,-10.485908243775384,-10.48583885862945,-10.485855454099237,-10.36988920932481,-35.60050622404242,-35.60050622404242,-35.60050622404242,-35.600526637284474
LV5.217 Bus 51,0.0,-16.70942073655783,-16.709453425230777,-16.709565319987178,-16.6909554462095,-53.05707907246688,-53.05715330494377,-53.05718599361671,-53.05707907246688
LV6.202 Bus 18,0.0,-10.83963396311151,-10.839633963111737,-10.879711320112847,-10.839633963111737,-30.76015176656574,-30.760055516335342,-30.76010024897505,-30.76015176656574
LV6.202 Bus 50,0.0,-28.39801183933514,-28.39801183933514,-28.40056283491367,-28.32286592353603,-73.33363992306658,-73.33363992306658,-73.33363992306658,-73.33363992306658
LV6.202 Bus 53,0.0,-23.037549691737695,-23.037549691737695,-23.051414120613117,-23.037549691737695,-70.03897707487977,-70.0389837065361,-70.0389837065361,-70.03897707487977
LV3.203 Bus 109,0.0,-5.627828358782153,-5.627784135292131,-5.627565660068512,-5.599891824002725,-20.413043133148562,-20.167425907127154,-20.381877792377736,-20.142973697877324
LV2.217 Bus 8,0.0,-10.66386209536131,-10.663862095360628,-10.663188505951439,-9.922476903486768,-35.206802111866864,-34.56115576696925,-35.03114445661663,-34.57961671498299
LV3.204 Bus 56,0.0,-8.85616443563697,-8.856197124309347,-8.856511986372197,-8.814974906847738,-29.30975495753239,-28.634651269021106,-29.110942058645037,-28.542970669032798
LV3.202 Bus 52,0.0,-13.051451612582696,-13.051451612582468,-13.051451612582241,-7.246809172843086,-20.996895435648185,-20.996895435648185,-20.996895435648185,-20.99655800809728
LV3.205 Bus 132,0.0,-7.1370008162659815,-7.137000402104945,-7.137676487584258,-5.907475355124461,-16.02052185188427,-15.887897274824581,-15.980920705324706,-15.952720212969211
LV2.203 Bus 14,0.0,-25.835630111250566,-25.835630111249884,-25.83311127622187,-25.682456267632006,-80.11422800650143,-77.26991266942923,-79.47241392128944,-80.11247719531389
LV4.202 Bus 18,0.0,-8.11231118888395,-8.112349249700287,-8.112199437740628,-7.69559842040735,-23.753386438314465,-23.75339766712841,-23.753386438314465,-23.753504719939315
LV2.203 Bus 101,0.0,-6.420041887019693,-6.420074575692183,-6.420186470449153,-6.079230260137024,-20.82055308085728,-20.407647408872094,-20.765894804107006,-20.509580902662037
LV2.217 Bus 28,0.0,-16.432973214911044,-16.432973214911044,-16.432973214910362,-14.02530905964636,-52.02529607350721,-50.49057617003632,-51.57814854575736,-51.97409138439025
LV2.217 Bus 96,0.0,-8.419859604106705,-8.419859604106477,-8.41986507736965,-2.1914561719822814,-11.10633967076592,-10.691688019009234,-10.995630281765898,-10.69587361634558
LV3.205 Bus 26,0.0,-7.0111363362266275,-7.0111363362266275,-7.010850751550834,0.1479452650737585,-4.487103412903707,-4.357691492634558,-4.456126329134349,-4.373343119138099
LV5.217 Bus 32,0.0,-12.07418465175283,-12.07418465175283,-12.074184651752375,-7.34847418677532,-30.379743839906496,-30.379743839906496,-30.379743839906496,-30.37758103122019
LV5.217 Bus 24,0.0,-14.199670837539315,-14.199670837539315,-14.196891360389372,-13.861754562341275,-45.06819018985789,-45.06819018985789,-45.06819018985789,-45.06805826144682
LV2.203 Bus 81,0.0,-11.433366486579189,-11.43336648657828,-11.433373601900257,-7.826562668278939,-29.034579923351657,-28.11062868290469,-28.891141101601534,-28.5385498157068
LV3.202 Bus 115,0.0,-15.03430068822854,-15.034300688228313,-15.034300688228086,-11.999652157816172,-38.70928970771865,-38.70928970771865,-38.70928970771865,-38.70893915352963
LV3.204 Bus 51,0.0,-7.794560073923321,-7.794560073923094,-7.794560073923094,-2.3198958710984243,-10.450692389967571,-10.16637236146903,-10.296287658717574,-9.868968375593568
LV3.202 Bus 7,0.0,-17.817708285178014,-17.817708285178014,-17.817708285178014,-13.869409037599326,-50.80644183702725,-50.80644183702725,-50.80644183702725,-50.80539733296928
LV3.202 Bus 92,0.0,-4.07660864849322,-4.07660864849322,-4.076299885973981,-4.044916583975237,-12.570511099648002,-12.570315663487236,-12.570773827758217,-12.570773827758103
LV3.205 Bus 85,0.0,-8.745637049600418,-8.745637049600646,-8.744864899844742,1.996540160969289,-3.8151184258545072,-3.699964010332451,-3.779216576012459,-3.7361517621752682
LV4.232 Bus 40,0.0,-13.468631402635765,-13.470679622063017,-13.468160787035231,-13.308578353771736,-42.630083266761176,-42.63009203294064,-42.62806643157319,-42.630083266761176
LV2.217 Bus 87,0.0,-5.636351974232298,-5.6363519742320705,-5.636282628706226,-5.218432418321527,-18.104825682406272,-17.79867158153752,-17.992132644004073,-17.6067400824669
LV5.217 Bus 106,0.0,-4.800688019272229,-4.800645274622411,-4.800771454342794,-4.8007686800357305,-12.034331769566052,-12.034357594537369,-12.034397148003563,-12.034419974235902
LV2.203 Bus 4,0.0,-23.899656014796392,-23.899656014796165,-23.89965601479571,-5.631086222570957,-58.2232928568817,-55.6630861589897,-57.65220551912171,-58.218053242998394
LV5.217 Bus 86,0.0,-6.904840788754882,-6.904840788754882,-6.904877664155379,-6.904840788754882,-22.214849732464245,-22.214849732464245,-22.214849732464245,-22.214849732464245
LV3.203 Bus 104,0.0,-5.401798010878565,-5.392598210829419,-5.40175510663812,-5.401716018375851,-17.252991828676613,-17.017052196154623,-17.217379057154858,-16.988371661457222
LV3.203 Bus 82,0.0,-18.264385729368087,-18.26438572936854,-18.26438995108151,-11.831853661310333,-46.28636691133602,-44.95973636275221,-45.924552766335864,-46.28496332446343
LV5.217 Bus 110,0.0,-6.282296245772841,-6.282296245772727,-6.282203077815666,-5.26393886313781,-18.33731547830007,-18.33731547830007,-18.33731547830007,-18.337384591557225
LV3.203 Bus 59,0.0,-19.665384297358287,-19.665393063537067,-19.66286546232982,-19.26891767731854,-60.97327903379892,-59.590768900467765,-60.58199733529864,-60.97319071046809
LV3.202 Bus 4,0.0,-7.3396535898839375,-7.33965452175687,-7.339283712713723,-7.3396535898839375,-21.887523328092925,-21.887526433186963,-21.88752898569828,-21.887518875568503
LV3.202 Bus 68,0.0,-14.75183323856254,-14.75183323856254,-14.751833238562085,-14.14496894859667,-49.53335599282036,-49.531750307483435,-49.531750307483435,-49.53335599282036
LV3.203 Bus 83,0.0,-16.347253429811644,-16.347253429811644,-16.347052513191556,-15.525251387072103,-52.01364329524131,-51.03454654899133,-51.76364166906751,-52.013745812676916
LV4.202 Bus 22,0.0,-10.997669073594125,-10.997669073594125,-10.997700127309372,-5.4758607160861175,-25.105547108198152,-25.105547108198152,-25.105547108198152,-25.104143521325568
LV5.217 Bus 5,0.0,-10.626207545104307,-10.626207545104307,-10.62621466042583,-7.9606814114390545,-21.649628796090383,-21.649628796090383,-21.649628796090383,-21.648035673214054
LV5.217 Bus 92,0.0,-12.501595894597813,-12.501595894597813,-12.501405818542935,-12.501595894597813,-39.70321311649843,-39.703212546090526,-39.703219076312166,-39.70321311649843
LV3.204 Bus 114,0.0,-6.671065027845998,-6.671065027845657,-6.671025764942897,-5.600360468233816,-22.668449923164076,-22.233449861219924,-22.489594077153242,-22.063848568058347
LV3.204 Bus 60,0.0,-16.19965327272439,-16.199639767136887,-16.19960188916548,-16.161953352874434,-58.71549410338889,-56.6325760349082,-58.03148331451166,-58.66978990812822
LV5.217 Bus 75,0.0,-8.582281077882612,-8.582350191139767,-8.581027898109596,-7.0688811842967425,-28.485312375086323,-28.485312375086323,-28.485381488343364,-28.485312375086323
LV6.202 Bus 41,0.0,-32.287356892036314,-32.287356892036314,-32.29207930138409,-32.28735689203677,-91.41302349822263,-91.41302349822308,-91.41302349822308,-91.41303689614415
LV3.204 Bus 98,0.0,-12.240827957069541,-12.190110752069813,-12.217159928069577,-9.128763436148347,-34.34678676917474,-33.01806324811605,-33.8476971126247,-34.303037061073155
LV4.232 Bus 25,0.0,-28.63290901495793,-28.63290901495793,-28.619778913440314,-28.63290901495793,-80.83301734214001,-80.83301734214001,-80.83301734214001,-80.83301734214001
LV6.202 Bus 47,0.0,-33.756916565415395,-33.75691656541585,-33.75671460022659,-33.705194627385936,-93.15721249552416,-93.15728413022953,-93.15729321222307,-93.15728413022953
LV3.204 Bus 79,0.0,-14.494312537255837,-14.494312537255382,-14.49442308971129,-14.173005155633746,-52.6286337366314,-51.07298062797372,-52.08945218204872,-52.616001886631466
LV3.205 Bus 28,0.0,-6.938618923014815,-6.938527291544915,-6.939265888400769,-3.200441853024927,-15.686134167697105,-15.637756358263573,-15.672466244197153,-15.60052583149809
LV6.202 Bus 24,0.0,-32.11912326121319,-32.11912326121319,-32.13228827848843,-32.11912326121319,-79.1865407105388,-79.186410010901,-79.186410010901,-79.1865407105388
LV3.205 Bus 130,0.0,-15.489651585935007,-15.489618650331977,-15.489651585934325,-14.459993048987371,-50.86368536979626,-50.41023083041273,-50.732056436250105,-50.86372944803793
LV5.217 Bus 22,0.0,-7.356367511318581,-7.356367511318581,-7.356367511318467,-4.783148580749753,-10.611116461907613,-10.611116461907613,-10.611116461907613,-10.609898797307096
LV4.219 Bus 8,0.0,-20.127100066667026,-20.127084880762595,-20.127190792279634,-19.244510783626083,-64.05391308443359,-64.05391308443359,-64.05398789963738,-64.05392638696048
LV5.217 Bus 26,0.0,-9.063484143867981,-9.063484143867981,-9.066851637084028,-2.2862795816513426,-21.757085850518934,-21.757091787763102,-21.757091787763102,-21.75665007715179
LV5.217 Bus 44,0.0,-10.002095391022294,-10.002095391022294,-10.00209539102184,-7.657782955830953,-30.10980531215546,-30.10980531215546,-30.10980531215546,-30.10787951276575
LV2.203 Bus 57,0.0,-8.648704243908469,-8.648704243907787,-8.648241713006769,-8.539071627698604,-26.53519888730409,-25.93355470558663,-26.420112296985735,-25.605253058479093
LV3.203 Bus 60,0.0,-17.514104517803617,-17.51409328898967,-17.51371771161689,-16.30068061730549,-58.45171977668747,-57.12382746786079,-58.10816317242484,-58.45171797411081
LV5.217 Bus 11,0.0,-14.646269290090686,-14.646269290090686,-14.647917951836007,-14.619261842647575,-47.14695532513065,-47.14700901764991,-47.14695532513042,-47.14707480504126
LV3.202 Bus 77,0.0,-12.719468695208661,-12.719468695208661,-12.719468695208207,-9.038370848684735,-36.35309634660257,-36.35309634660257,-36.3530963466028,-36.352051842544824
LV5.217 Bus 88,0.0,-13.418645243042647,-13.418645243042647,-13.418645243042192,-11.045266786873981,-31.704259228164574,-31.704259228164574,-31.704259228164574,-31.703908673975548
LV3.205 Bus 48,0.0,-4.7285774832081415,-4.728571334959952,-4.728577483208028,0.11743178259814613,-1.6859078541017425,-1.680724821857666,-1.6843763241016632,-1.6851905240191627
LV2.217 Bus 89,0.0,-14.20928336537304,-14.167019027872811,-14.20525819037266,-12.489747418778052,-34.50233398545902,-33.578142202958816,-34.16713900995887,-34.50063116557703
LV3.205 Bus 83,0.0,-25.164821700120456,-25.164821700120456,-25.16482170012023,-20.500860872609337,-75.87689180101665,-75.22951439726671,-75.67668156001696,-75.87589253289275
LV2.203 Bus 68,0.0,-17.883380392702065,-17.883379898796647,-17.883364456864683,-17.863089871437978,-55.98499335165366,-54.17965401125025,-55.638606874399784,-55.735091581662346
LV5.217 Bus 91,0.0,-7.982157055641437,-7.982157055641437,-7.9821612773544075,-3.9355245173499043,-11.258660162611704,-11.258660162611704,-11.258660162611704,-11.257560249327526
LV3.205 Bus 76,0.0,-22.191315447498027,-22.15750397749798,-22.185519195496454,-15.661045114397439,-68.91997100140861,-68.13149485140843,-68.66707023790832,-68.91873255586052
LV6.202 Bus 57,0.0,-20.89928574673104,-20.89928574673104,-20.899285746730584,-19.173113902084424,-48.561765349089455,-48.561765349089455,-48.561765349089455,-48.561455067028874
LV2.203 Bus 102,0.0,-22.111613624280153,-22.111604667601796,-22.11156540469824,-21.13654853454591,-71.92527506294437,-68.99508676945266,-71.27720294578035,-71.92343125105049
LV3.204 Bus 18,0.0,-7.828695327016021,-7.828695327015453,-7.8268260180251445,-7.82859828089272,-25.874093884512376,-25.267528931336187,-25.613058422299332,-24.901605587694235
LV6.202 Bus 14,0.0,-14.270881488425857,-14.270881488425857,-14.267154553470846,-14.252047233811027,-24.6269003166708,-24.6269003166708,-24.6269003166708,-24.626913348118705
LV2.217 Bus 6,0.0,-14.723107230928917,-14.72310723092869,-14.723107230928463,-5.047180435346263,-34.779764362670676,-33.65167652464697,-34.445040627170556,-34.77571359924377
LV3.205 Bus 56,0.0,-24.51869389570834,-24.51869389570834,-24.51869389570811,-18.197595699914928,-60.76553348915172,-60.19805699161543,-60.595661286651875,-60.734177259416356
LV3.202 Bus 91,0.0,-20.910511532160626,-20.910511532160626,-20.910511532159944,-19.030685946729136,-61.47818815438586,-61.47818815438586,-61.47818815438609,-61.4765189027255
LV3.203 Bus 84,0.0,-6.1862612079838755,-6.187436382406304,-6.183918913448906,-2.1187271871709754,-4.73774835057111,-4.60226607447396,-4.710704751223943,-4.430230762257338
LV4.202 Bus 3,0.0,-16.319209817127785,-16.319209817127557,-16.319158023409045,-16.319215390994714,-54.580737430737145,-54.580737430737145,-54.580737430737145,-54.580737430737145
LV2.217 Bus 71,0.0,-7.9911021260157895,-7.991102126015335,-7.991102126015562,-6.494590429618711,-24.202532002762382,-23.69627690570735,-24.01264534803977,-23.992937325833736
LV3.203 Bus 45,0.0,-21.43824429592587,-21.43824429592587,-21.435603862508742,-21.065933644533516,-66.65030121371046,-65.36505021655876,-66.30753902255879,-66.6501692852994
LV2.217 Bus 24,0.0,-15.73320104485174,-15.733201044851512,-15.733888886448085,-13.989538788120626,-40.37867699226058,-39.12029653662421,-39.96186268346014,-40.31581128710468
