grid_type,diffusion_evs,diffusion_hps,diffusion_pv_storage,curtailment,tariff_wholesale,tariff_grid_usage_fee,q,component,value
standard,70,standard,standard,none,rtt,fix,q09697,LV3.205 Load 91_entity,-0.000518453393289582
standard,70,standard,standard,none,rtt,fix,q09697,LV2.217 Bus 69_HH1a_eff_vacSummer_ees,0.004900000000000001
standard,70,standard,standard,none,rtt,fix,q09697,LV2.217 Load 58_entity,-0.00011059686946300945
standard,70,standard,standard,none,rtt,fix,q09697,LV2.203 Bus 57_HH1a_eff_vacWinter_ees,0.004900000000000001
standard,70,standard,standard,none,rtt,fix,q09697,LV2.203 Load 92_entity,-8.510707520687283e-05
standard,70,standard,standard,none,rtt,fix,q09697,LV3.203 Bus 20_HH1a_random_vacSummer_ees,0.008199999999999999
standard,70,standard,standard,none,rtt,fix,q09697,LV3.203 Load 11_entity,-0.00011803396058864339
standard,70,standard,standard,none,rtt,fix,q09697,LV4.219 Bus 29_HH1b_eff_vacSummer_ees,0.0056
standard,70,standard,standard,none,rtt,fix,q09697,LV4.219 Load 18_entity,-9.602675467662038e-05
standard,70,standard,standard,none,rtt,fix,q09697,LV6.202 Bus 53_HH2b_eff_vacWinter_ees,0.0037
standard,70,standard,standard,none,rtt,fix,q09697,LV6.202 Bus 53_HH2b_eff_vacWinter_pv,-1.61e-07
standard,70,standard,standard,none,rtt,fix,q09697,LV6.202 Load 47_entity,-6.541354944207611e-05
standard,70,standard,standard,none,rtt,fix,q09697,LV6.202 Load 104_entity,-7.095650983005971e-05
standard,70,standard,standard,none,rtt,fix,q09697,LV4.232 Bus 3_HH2b_eff_vacWinter_ees,0.0037
standard,70,standard,standard,none,rtt,fix,q09697,LV4.232 Bus 3_HH2b_eff_vacWinter_pv,-1.61e-07
standard,70,standard,standard,none,rtt,fix,q09697,LV4.232 Load 33_entity,-7.095650983005971e-05
standard,70,standard,standard,none,rtt,fix,q09697,LV4.219 Bus 30_HH2b_random_vacWinter_ees,0.0064
standard,70,standard,standard,none,rtt,fix,q09697,LV4.219 Load 15_entity,-0.000518453393289582
standard,70,standard,standard,none,rtt,fix,q09697,LV2.217 Bus 44_HH1b_eff_vacWinter_ees,0.0056
standard,70,standard,standard,none,rtt,fix,q09697,LV2.217 Bus 44_HH1b_eff_vacWinter_pv,-1.1e-07
standard,70,standard,standard,none,rtt,fix,q09697,LV2.217 Load 82_entity,-9.738720331293197e-05
standard,70,standard,standard,none,rtt,fix,q09697,LV2.217 Bus 85_HH2b_eff_vacWinter_ees,0.0037
standard,70,standard,standard,none,rtt,fix,q09697,LV2.217 Bus 85_HH2b_eff_vacWinter_pv,-1.61e-07
standard,70,standard,standard,none,rtt,fix,q09697,LV2.217 Load 94_entity,-7.095650983005971e-05
standard,70,standard,standard,none,rtt,fix,q09697,LV3.202 Bus 45_HH1a_random_vacWinter_ees,0.0088
standard,70,standard,standard,none,rtt,fix,q09697,LV3.202 Bus 45_HH1a_random_vacWinter_pv,-7e-06
standard,70,standard,standard,none,rtt,fix,q09697,LV3.202 Load 67_entity,-0.0001385687730235231
standard,70,standard,standard,none,rtt,fix,q09697,LV3.203 Bus 100_HH2b_random_vacWinter_ees,0.0064
standard,70,standard,standard,none,rtt,fix,q09697,LV3.203 Load 76_entity,-0.000518453393289582
standard,70,standard,standard,none,rtt,fix,q09697,LV2.203 Bus 102_HH1b_eff_vacSummer_ees,0.0056
standard,70,standard,standard,none,rtt,fix,q09697,LV2.203 Load 19_entity,-9.602675467662038e-05
standard,70,standard,standard,none,rtt,fix,q09697,LV3.202 Bus 114_HH2b_eff_vacSummer_ees,0.0037
standard,70,standard,standard,none,rtt,fix,q09697,LV3.202 Load 59_entity,-7.541219232903856e-05
standard,70,standard,standard,none,rtt,fix,q09697,LV3.203 Bus 43_HH1b_random_vacWinter_ees,0.0066
standard,70,standard,standard,none,rtt,fix,q09697,LV3.203 Load 35_entity,-0.00010296098184290383
standard,70,standard,standard,none,rtt,fix,q09697,LV4.219 Bus 31_HH1b_random_vacSummer_ees,0.0085
standard,70,standard,standard,none,rtt,fix,q09697,LV4.219 Load 17_entity,-0.00029002361342077054
standard,70,standard,standard,none,rtt,fix,q09697,LV3.204 Bus 56_HH2a_eff_vacSummer_ees,0.0039
standard,70,standard,standard,none,rtt,fix,q09697,LV3.204 Load 31_entity,-6.491568393470093e-05
standard,70,standard,standard,none,rtt,fix,q09697,LV3.202 Bus 98_HH1b_random_vacSummer_ees,0.0085
standard,70,standard,standard,none,rtt,fix,q09697,LV3.202 Load 19_entity,-0.00029002361342077054
standard,70,standard,standard,none,rtt,fix,q09697,LV3.205 Bus 109_HH1b_random_vacSummer_ees,0.0085
standard,70,standard,standard,none,rtt,fix,q09697,LV3.205 Load 80_entity,-0.00029002361342077054
standard,70,standard,standard,none,rtt,fix,q09697,LV3.204 Bus 45_HH1a_eff_vacWinter_ees,0.004900000000000001
standard,70,standard,standard,none,rtt,fix,q09697,LV3.204 Load 67_entity,-8.510707520687283e-05
standard,70,standard,standard,none,rtt,fix,q09697,LV3.205 Bus 50_HH2a_random_vacSummer_ees,0.0064
standard,70,standard,standard,none,rtt,fix,q09697,LV3.205 Bus 50_HH2a_random_vacSummer_pv,-5e-07
standard,70,standard,standard,none,rtt,fix,q09697,LV3.205 Load 117_entity,-7.656083532962227e-05
standard,70,standard,standard,none,rtt,fix,q09697,LV6.202 Bus 11_HH2a_random_vacWinter_ees,0.006
standard,70,standard,standard,none,rtt,fix,q09697,LV6.202 Load 20_entity,-7.656083532962227e-05
standard,70,standard,standard,none,rtt,fix,q09697,LV6.202 Load 64_entity,-0.000600305
standard,70,standard,standard,none,rtt,fix,q09697,LV6.202 Load 65_entity,-0.0001342931166073426
standard,70,standard,standard,none,rtt,fix,q09697,LV3.202 Bus 37_HH2b_eff_vacSummer_ees,0.0037
standard,70,standard,standard,none,rtt,fix,q09697,LV3.202 Load 85_entity,-7.541219232903856e-05
standard,70,standard,standard,none,rtt,fix,q09697,LV2.217 Bus 97_HH2b_eff_vacWinter_ees,0.0037
standard,70,standard,standard,none,rtt,fix,q09697,LV2.217 Bus 97_HH2b_eff_vacWinter_pv,-1.61e-07
standard,70,standard,standard,none,rtt,fix,q09697,LV2.217 Load 88_entity,-7.095650983005971e-05
standard,70,standard,standard,none,rtt,fix,q09697,LV2.217 Load 37_entity,-7.095650983005971e-05
standard,70,standard,standard,none,rtt,fix,q09697,LV5.217 Bus 71_HH1a_random_vacWinter_ees,0.0088
standard,70,standard,standard,none,rtt,fix,q09697,LV5.217 Bus 71_HH1a_random_vacWinter_pv,-7e-06
standard,70,standard,standard,none,rtt,fix,q09697,LV5.217 Load 76_entity,-0.0001385687730235231
standard,70,standard,standard,none,rtt,fix,q09697,LV3.203 Bus 71_HH2b_random_vacWinter_ees,0.0064
standard,70,standard,standard,none,rtt,fix,q09697,LV3.203 Load 91_entity,-0.000518453393289582
standard,70,standard,standard,none,rtt,fix,q09697,LV2.203 Bus 94_HH2a_random_vacWinter_ees,0.006
standard,70,standard,standard,none,rtt,fix,q09697,LV2.203 Load 13_entity,-0.0001342931166073426
standard,70,standard,standard,none,rtt,fix,q09697,LV3.204 Bus 77_HH2a_eff_vacSummer_ees,0.0039
standard,70,standard,standard,none,rtt,fix,q09697,LV3.204 Load 52_entity,-6.491568393470093e-05
standard,70,standard,standard,none,rtt,fix,q09697,LV3.203 Bus 39_HH2a_eff_vacSummer_ees,0.0039
standard,70,standard,standard,none,rtt,fix,q09697,LV3.203 Load 105_entity,-6.491568393470093e-05
standard,70,standard,standard,none,rtt,fix,q09697,LV3.203 Bus 79_HH2b_random_vacSummer_ees,0.0050999999999999995
standard,70,standard,standard,none,rtt,fix,q09697,LV3.203 Bus 79_HH2b_random_vacSummer_pv,-5.1e-07
standard,70,standard,standard,none,rtt,fix,q09697,LV3.203 Load 28_entity,-0.00010332716853344879
standard,70,standard,standard,none,rtt,fix,q09697,LV6.202 Bus 15_HH2a_random_vacSummer_ees,0.0064
standard,70,standard,standard,none,rtt,fix,q09697,LV6.202 Bus 15_HH2a_random_vacSummer_pv,-5e-07
standard,70,standard,standard,none,rtt,fix,q09697,LV6.202 Load 9_entity,-7.656083532962227e-05
standard,70,standard,standard,none,rtt,fix,q09697,LV6.202 Load 111_entity,-0.00029002361342077054
standard,70,standard,standard,none,rtt,fix,q09697,LV4.232 Bus 40_HH1a_eff_vacWinter_ees,0.004900000000000001
standard,70,standard,standard,none,rtt,fix,q09697,LV4.232 Load 37_entity,-8.510707520687283e-05
standard,70,standard,standard,none,rtt,fix,q09697,LV3.204 Bus 94_HH2a_random_vacWinter_ees,0.006
standard,70,standard,standard,none,rtt,fix,q09697,LV3.204 Load 118_entity,-0.0001342931166073426
standard,70,standard,standard,none,rtt,fix,q09697,LV2.217 Bus 14_HH2a_eff_vacWinter_ees,0.0039
standard,70,standard,standard,none,rtt,fix,q09697,LV2.217 Load 59_entity,-6.541354944207611e-05
standard,70,standard,standard,none,rtt,fix,q09697,LV6.202 Bus 37_HH2a_eff_vacWinter_ees,0.0039
standard,70,standard,standard,none,rtt,fix,q09697,LV6.202 Load 25_entity,-6.541354944207611e-05
standard,70,standard,standard,none,rtt,fix,q09697,LV3.204 Bus 114_HH1b_eff_vacSummer_ees,0.0056
standard,70,standard,standard,none,rtt,fix,q09697,LV3.204 Load 59_entity,-9.602675467662038e-05
standard,70,standard,standard,none,rtt,fix,q09697,LV5.217 Bus 11_HH2b_random_vacWinter_ees,0.0064
standard,70,standard,standard,none,rtt,fix,q09697,LV5.217 Load 65_entity,-0.000518453393289582
standard,70,standard,standard,none,rtt,fix,q09697,LV6.202 Bus 21_HH1a_random_vacWinter_ees,0.0088
standard,70,standard,standard,none,rtt,fix,q09697,LV6.202 Bus 21_HH1a_random_vacWinter_pv,-7e-06
standard,70,standard,standard,none,rtt,fix,q09697,LV6.202 Load 4_entity,-0.0001385687730235231
standard,70,standard,standard,none,rtt,fix,q09697,LV4.202 Bus 15_HH2b_random_vacSummer_ees,0.0050999999999999995
standard,70,standard,standard,none,rtt,fix,q09697,LV4.202 Bus 15_HH2b_random_vacSummer_pv,-5.1e-07
standard,70,standard,standard,none,rtt,fix,q09697,LV4.202 Bus 15_LV4.202 Load 3_pv,-1.1e-07
standard,70,standard,standard,none,rtt,fix,q09697,LV4.202 Load 2_entity,-0.00010332716853344879
standard,70,standard,standard,none,rtt,fix,q09697,LV4.202 Load 3_entity,-0.000166668
standard,70,standard,standard,none,rtt,fix,q09697,LV3.205 Bus 114_HH2a_random_vacSummer_ees,0.0064
standard,70,standard,standard,none,rtt,fix,q09697,LV3.205 Bus 114_HH2a_random_vacSummer_pv,-5e-07
standard,70,standard,standard,none,rtt,fix,q09697,LV3.205 Load 59_entity,-7.656083532962227e-05
standard,70,standard,standard,none,rtt,fix,q09697,LV3.203 Bus 51_HH1b_eff_vacWinter_ees,0.0056
standard,70,standard,standard,none,rtt,fix,q09697,LV3.203 Bus 51_HH1b_eff_vacWinter_pv,-1.1e-07
standard,70,standard,standard,none,rtt,fix,q09697,LV3.203 Load 97_entity,-9.738720331293197e-05
standard,70,standard,standard,none,rtt,fix,q09697,LV2.217 Bus 8_HH2b_eff_vacWinter_ees,0.0037
standard,70,standard,standard,none,rtt,fix,q09697,LV2.217 Bus 8_HH2b_eff_vacWinter_pv,-1.61e-07
standard,70,standard,standard,none,rtt,fix,q09697,LV2.217 Load 34_entity,-7.095650983005971e-05
standard,70,standard,standard,none,rtt,fix,q09697,LV4.202 Bus 16_HH2a_random_vacWinter_ees,0.006
standard,70,standard,standard,none,rtt,fix,q09697,LV4.202 Load 30_entity,-0.0001342931166073426
standard,70,standard,standard,none,rtt,fix,q09697,LV5.217 Bus 86_HH2a_random_vacSummer_ees,0.0064
standard,70,standard,standard,none,rtt,fix,q09697,LV5.217 Bus 86_HH2a_random_vacSummer_pv,-5e-07
standard,70,standard,standard,none,rtt,fix,q09697,LV5.217 Load 20_entity,-7.656083532962227e-05
standard,70,standard,standard,none,rtt,fix,q09697,LV3.202 Bus 92_HH1b_eff_vacWinter_ees,0.0056
standard,70,standard,standard,none,rtt,fix,q09697,LV3.202 Bus 92_HH1b_eff_vacWinter_pv,-1.1e-07
standard,70,standard,standard,none,rtt,fix,q09697,LV3.202 Load 60_entity,-9.738720331293197e-05
standard,70,standard,standard,none,rtt,fix,q09697,LV4.202 Bus 3_HH1b_random_vacSummer_ees,0.0085
standard,70,standard,standard,none,rtt,fix,q09697,LV4.202 Load 33_entity,-0.00029002361342077054
standard,70,standard,standard,none,rtt,fix,q09697,LV3.202 Bus 130_HH1a_random_vacWinter_ees,0.0088
standard,70,standard,standard,none,rtt,fix,q09697,LV3.202 Bus 130_HH1a_random_vacWinter_pv,-7e-06
standard,70,standard,standard,none,rtt,fix,q09697,LV3.202 Load 64_entity,-0.0001385687730235231
standard,70,standard,standard,none,rtt,fix,q09697,LV6.202 Bus 50_HH2b_random_vacWinter_ees,0.0064
standard,70,standard,standard,none,rtt,fix,q09697,LV6.202 Load 44_entity,-0.000263304
standard,70,standard,standard,none,rtt,fix,q09697,LV6.202 Load 98_entity,-0.000518453393289582
standard,70,standard,standard,none,rtt,fix,q09697,LV5.217 Bus 95_HH1b_eff_vacSummer_ees,0.0056
standard,70,standard,standard,none,rtt,fix,q09697,LV5.217 Load 80_entity,-9.602675467662038e-05
standard,70,standard,standard,none,rtt,fix,q09697,LV3.202 Bus 96_HH1a_random_vacWinter_ees,0.0088
standard,70,standard,standard,none,rtt,fix,q09697,LV3.202 Bus 96_HH1a_random_vacWinter_pv,-7e-06
standard,70,standard,standard,none,rtt,fix,q09697,LV3.202 Load 116_entity,-0.0001385687730235231
standard,70,standard,standard,none,rtt,fix,q09697,LV4.219 Bus 17_HH2a_random_vacWinter_ees,0.006
standard,70,standard,standard,none,rtt,fix,q09697,LV4.219 Load 20_entity,-0.0001342931166073426
standard,70,standard,standard,none,rtt,fix,q09697,LV3.205 Bus 130_HH2a_random_vacSummer_ees,0.0064
standard,70,standard,standard,none,rtt,fix,q09697,LV3.205 Bus 130_HH2a_random_vacSummer_pv,-5e-07
standard,70,standard,standard,none,rtt,fix,q09697,LV3.205 Load 64_entity,-7.656083532962227e-05
standard,70,standard,standard,none,rtt,fix,q09697,LV6.202 Bus 41_HH1b_eff_vacSummer_ees,0.0056
standard,70,standard,standard,none,rtt,fix,q09697,LV6.202 Load 40_entity,-0.00011803396058864339
standard,70,standard,standard,none,rtt,fix,q09697,LV6.202 Load 92_entity,-9.602675467662038e-05
standard,70,standard,standard,none,rtt,fix,q09697,LV6.202 Load 93_entity,-3.6698e-05
standard,70,standard,standard,none,rtt,fix,q09697,LV6.202 Load 94_entity,-0.0001342931166073426
standard,70,standard,standard,none,rtt,fix,q09697,LV2.217 Bus 5_HH1b_random_vacWinter_ees,0.0066
standard,70,standard,standard,none,rtt,fix,q09697,LV2.217 Load 3_entity,-0.00010296098184290383
standard,70,standard,standard,none,rtt,fix,q09697,LV2.203 Bus 14_HH1a_eff_vacWinter_ees,0.004900000000000001
standard,70,standard,standard,none,rtt,fix,q09697,LV2.203 Load 59_entity,-8.510707520687283e-05
standard,70,standard,standard,none,rtt,fix,q09697,LV3.202 Bus 15_HH1a_random_vacWinter_ees,0.0088
standard,70,standard,standard,none,rtt,fix,q09697,LV3.202 Bus 15_HH1a_random_vacWinter_pv,-7e-06
standard,70,standard,standard,none,rtt,fix,q09697,LV3.202 Load 88_entity,-0.0001385687730235231
standard,70,standard,standard,none,rtt,fix,q09697,LV3.202 Bus 68_HH2a_random_vacSummer_ees,0.0064
standard,70,standard,standard,none,rtt,fix,q09697,LV3.202 Bus 68_HH2a_random_vacSummer_pv,-5e-07
standard,70,standard,standard,none,rtt,fix,q09697,LV3.202 Load 78_entity,-7.656083532962227e-05
standard,70,standard,standard,none,rtt,fix,q09697,LV3.203 Bus 60_HH1a_eff_vacSummer_ees,0.004900000000000001
standard,70,standard,standard,none,rtt,fix,q09697,LV3.203 Load 51_entity,-0.00011059686946300945
standard,70,standard,standard,none,rtt,fix,q09697,LV5.217 Bus 69_HH1b_random_vacWinter_ees,0.0066
standard,70,standard,standard,none,rtt,fix,q09697,LV5.217 Load 26_entity,-0.00010296098184290383
standard,70,standard,standard,none,rtt,fix,q09697,LV3.205 Bus 113_HH1b_eff_vacSummer_ees,0.0056
standard,70,standard,standard,none,rtt,fix,q09697,LV3.205 Load 82_entity,-9.602675467662038e-05
standard,70,standard,standard,none,rtt,fix,q09697,LV4.219 Bus 41_HH2b_eff_vacWinter_ees,0.0037
standard,70,standard,standard,none,rtt,fix,q09697,LV4.219 Bus 41_HH2b_eff_vacWinter_pv,-1.61e-07
standard,70,standard,standard,none,rtt,fix,q09697,LV4.219 Load 38_entity,-7.095650983005971e-05
standard,70,standard,standard,none,rtt,fix,q09697,LV4.219 Bus 11_HH2b_random_vacWinter_ees,0.0064
standard,70,standard,standard,none,rtt,fix,q09697,LV4.219 Load 21_entity,-0.000518453393289582
standard,70,standard,standard,none,rtt,fix,q09697,LV5.217 Bus 64_HH2b_random_vacWinter_ees,0.0064
standard,70,standard,standard,none,rtt,fix,q09697,LV5.217 Load 29_entity,-0.000518453393289582
standard,70,standard,standard,none,rtt,fix,q09697,LV4.232 Bus 20_HH2b_eff_vacWinter_ees,0.0037
standard,70,standard,standard,none,rtt,fix,q09697,LV4.232 Bus 20_HH2b_eff_vacWinter_pv,-1.61e-07
standard,70,standard,standard,none,rtt,fix,q09697,LV4.232 Load 12_entity,-7.095650983005971e-05
standard,70,standard,standard,none,rtt,fix,q09697,LV3.204 Bus 113_HH1b_eff_vacSummer_ees,0.0056
standard,70,standard,standard,none,rtt,fix,q09697,LV3.204 Load 82_entity,-9.602675467662038e-05
standard,70,standard,standard,none,rtt,fix,q09697,LV3.204 Bus 119_HH2a_eff_vacWinter_ees,0.0039
standard,70,standard,standard,none,rtt,fix,q09697,LV3.204 Load 66_entity,-6.541354944207611e-05
standard,70,standard,standard,none,rtt,fix,q09697,LV3.204 Bus 31_HH2b_random_vacWinter_ees,0.0064
standard,70,standard,standard,none,rtt,fix,q09697,LV3.204 Load 2_entity,-0.000518453393289582
standard,70,standard,standard,none,rtt,fix,q09697,LV4.219 Bus 9_HH1a_random_vacWinter_ees,0.0088
standard,70,standard,standard,none,rtt,fix,q09697,LV4.219 Bus 9_HH1a_random_vacWinter_pv,-7e-06
standard,70,standard,standard,none,rtt,fix,q09697,LV4.219 Load 24_entity,-0.0001385687730235231
standard,70,standard,standard,none,rtt,fix,q09697,LV2.203 Bus 93_HH1a_random_vacWinter_ees,0.0088
standard,70,standard,standard,none,rtt,fix,q09697,LV2.203 Bus 93_HH1a_random_vacWinter_pv,-7e-06
standard,70,standard,standard,none,rtt,fix,q09697,LV2.203 Load 33_entity,-0.0001385687730235231
standard,70,standard,standard,none,rtt,fix,q09697,LV2.217 Bus 87_HH1b_eff_vacSummer_ees,0.0056
standard,70,standard,standard,none,rtt,fix,q09697,LV2.217 Load 44_entity,-9.602675467662038e-05
standard,70,standard,standard,none,rtt,fix,q09697,LV5.217 Bus 106_HH2a_random_vacSummer_ees,0.0064
standard,70,standard,standard,none,rtt,fix,q09697,LV5.217 Bus 106_HH2a_random_vacSummer_pv,-5e-07
standard,70,standard,standard,none,rtt,fix,q09697,LV5.217 Load 89_entity,-7.656083532962227e-05
standard,70,standard,standard,none,rtt,fix,q09697,LV3.203 Bus 49_HH1b_random_vacWinter_ees,0.0066
standard,70,standard,standard,none,rtt,fix,q09697,LV3.203 Load 20_entity,-0.00010296098184290383
standard,70,standard,standard,none,rtt,fix,q09697,LV6.202 Bus 42_HH1b_eff_vacWinter_ees,0.0056
standard,70,standard,standard,none,rtt,fix,q09697,LV6.202 Bus 42_HH1b_eff_vacWinter_pv,-1.1e-07
standard,70,standard,standard,none,rtt,fix,q09697,LV6.202 Load 7_entity,-0.0001342931166073426
standard,70,standard,standard,none,rtt,fix,q09697,LV6.202 Load 108_entity,-9.738720331293197e-05
standard,70,standard,standard,none,rtt,fix,q09697,LV4.202 Bus 18_HH1a_eff_vacSummer_ees,0.004900000000000001
standard,70,standard,standard,none,rtt,fix,q09697,LV4.202 Load 1_entity,-0.00011059686946300945
standard,70,standard,standard,none,rtt,fix,q09697,LV3.204 Bus 79_HH1a_random_vacWinter_ees,0.0088
standard,70,standard,standard,none,rtt,fix,q09697,LV3.204 Bus 79_HH1a_random_vacWinter_pv,-7e-06
standard,70,standard,standard,none,rtt,fix,q09697,LV3.204 Load 28_entity,-0.0001385687730235231
standard,70,standard,standard,none,rtt,fix,q09697,LV1.202 Bus 5_HH2a_random_vacWinter_ees,0.006
standard,70,standard,standard,none,rtt,fix,q09697,LV1.202 Load 13_entity,-0.0001342931166073426
standard,70,standard,standard,none,rtt,fix,q09697,LV2.203 Bus 20_HH2b_random_vacSummer_ees,0.0050999999999999995
standard,70,standard,standard,none,rtt,fix,q09697,LV2.203 Bus 20_HH2b_random_vacSummer_pv,-5.1e-07
standard,70,standard,standard,none,rtt,fix,q09697,LV2.203 Load 97_entity,-0.00010332716853344879
standard,70,standard,standard,none,rtt,fix,q09697,LV2.217 Bus 82_HH1a_random_vacSummer_ees,0.008199999999999999
standard,70,standard,standard,none,rtt,fix,q09697,LV2.217 Load 2_entity,-0.00011803396058864339
standard,70,standard,standard,none,rtt,fix,q09697,LV3.205 Bus 33_HH1a_eff_vacSummer_ees,0.004900000000000001
standard,70,standard,standard,none,rtt,fix,q09697,LV3.205 Load 38_entity,-0.00011059686946300945
standard,70,standard,standard,none,rtt,fix,q09697,LV3.202 Bus 58_HH2a_random_vacSummer_ees,0.0064
standard,70,standard,standard,none,rtt,fix,q09697,LV3.202 Bus 58_HH2a_random_vacSummer_pv,-5e-07
standard,70,standard,standard,none,rtt,fix,q09697,LV3.202 Load 77_entity,-7.656083532962227e-05
standard,70,standard,standard,none,rtt,fix,q09697,LV3.203 Bus 59_HH1a_eff_vacWinter_ees,0.004900000000000001
standard,70,standard,standard,none,rtt,fix,q09697,LV3.203 Load 4_entity,-8.510707520687283e-05
standard,70,standard,standard,none,rtt,fix,q09697,LV2.203 Bus 101_HH2a_eff_vacSummer_ees,0.0039
standard,70,standard,standard,none,rtt,fix,q09697,LV2.203 Load 50_entity,-6.491568393470093e-05
standard,70,standard,standard,none,rtt,fix,q09697,LV3.203 Bus 104_HH2a_random_vacWinter_ees,0.006
standard,70,standard,standard,none,rtt,fix,q09697,LV3.203 Load 36_entity,-0.0001342931166073426
standard,70,standard,standard,none,rtt,fix,q09697,LV5.217 Bus 110_HH1a_random_vacWinter_ees,0.0088
standard,70,standard,standard,none,rtt,fix,q09697,LV5.217 Bus 110_HH1a_random_vacWinter_pv,-7e-06
standard,70,standard,standard,none,rtt,fix,q09697,LV5.217 Load 102_entity,-0.0001385687730235231
standard,70,standard,standard,none,rtt,fix,q09697,LV2.203 Bus 68_HH2b_random_vacWinter_ees,0.0064
standard,70,standard,standard,none,rtt,fix,q09697,LV2.203 Load 91_entity,-0.000518453393289582
standard,70,standard,standard,none,rtt,fix,q09697,LV3.203 Bus 103_HH2b_random_vacSummer_ees,0.0050999999999999995
standard,70,standard,standard,none,rtt,fix,q09697,LV3.203 Bus 103_HH2b_random_vacSummer_pv,-5.1e-07
standard,70,standard,standard,none,rtt,fix,q09697,LV3.203 Load 71_entity,-0.00010332716853344879
standard,70,standard,standard,none,rtt,fix,q09697,LV3.202 Bus 12_HH2b_random_vacSummer_ees,0.0050999999999999995
standard,70,standard,standard,none,rtt,fix,q09697,LV3.202 Bus 12_HH2b_random_vacSummer_pv,-5.1e-07
standard,70,standard,standard,none,rtt,fix,q09697,LV3.202 Load 74_entity,-0.00010332716853344879
standard,70,standard,standard,none,rtt,fix,q09697,LV2.203 Bus 25_HH1b_eff_vacSummer_ees,0.0056
standard,70,standard,standard,none,rtt,fix,q09697,LV2.203 Load 24_entity,-9.602675467662038e-05
standard,70,standard,standard,none,rtt,fix,q09697,LV3.204 Bus 73_HH1a_random_vacWinter_ees,0.0088
standard,70,standard,standard,none,rtt,fix,q09697,LV3.204 Bus 73_HH1a_random_vacWinter_pv,-7e-06
standard,70,standard,standard,none,rtt,fix,q09697,LV3.204 Load 108_entity,-0.0001385687730235231
standard,70,standard,standard,none,rtt,fix,q09697,LV5.217 Bus 68_HH2b_random_vacWinter_ees,0.0064
standard,70,standard,standard,none,rtt,fix,q09697,LV5.217 Load 2_entity,-0.000518453393289582
standard,70,standard,standard,none,rtt,fix,q09697,LV1.202 Bus 10_HH2b_random_vacWinter_ees,0.0064
standard,70,standard,standard,none,rtt,fix,q09697,LV1.202 Load 1_entity,-0.000518453393289582
standard,70,standard,standard,none,rtt,fix,q09697,LV4.232 Bus 22_HH1b_random_vacWinter_ees,0.0066
standard,70,standard,standard,none,rtt,fix,q09697,LV4.232 Load 6_entity,-0.00010296098184290383
